SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42022,1610612748,MIA,Miami Heat,0042200405,2023-06-12,MIA @ DEN,L,240,89,33,96,0.344,9,35,0.257,14,16,0.875,11,33,44,18,9,7,8,21,-5.0
42022,1610612748,MIA,Miami Heat,0042200404,2023-06-09,MIA vs. DEN,L,240,95,35,78,0.449,8,25,0.32,17,20,0.85,8,29,37,23,2,3,14,19,-13.0
42022,1610612748,MIA,Miami Heat,0042200403,2023-06-07,MIA vs. DEN,L,240,94,34,92,0.37,11,35,0.314,15,19,0.789,10,23,33,20,7,3,4,22,-15.0
42022,1610612748,MIA,Miami Heat,0042200402,2023-06-04,MIA @ DEN,W,239,111,38,78,0.487,17,35,0.486,18,20,0.9,8,23,31,28,5,4,11,22,3.0
42022,1610612748,MIA,Miami Heat,0042200401,2023-06-01,MIA @ DEN,L,241,93,39,96,0.406,13,39,0.333,2,2,1.0,11,32,43,26,5,4,8,15,-11.0
42022,1610612748,MIA,Miami Heat,0042200307,2023-05-29,MIA @ BOS,W,238,103,42,86,0.488,14,28,0.5,5,6,0.833,7,35,42,26,7,2,12,15,19.0
42022,1610612748,MIA,Miami Heat,0042200306,2023-05-27,MIA vs. BOS,L,240,103,33,93,0.355,14,30,0.467,23,29,0.793,17,30,47,22,5,4,5,24,-1.0
42022,1610612748,MIA,Miami Heat,0042200305,2023-05-25,MIA @ BOS,L,240,97,40,78,0.513,9,23,0.391,8,10,0.8,10,26,36,20,6,2,16,13,-13.0
42022,1610612748,MIA,Miami Heat,0042200304,2023-05-23,MIA vs. BOS,L,241,99,34,78,0.436,8,32,0.25,23,28,0.821,12,32,44,18,5,2,15,18,-17.0
42022,1610612748,MIA,Miami Heat,0042200303,2023-05-21,MIA vs. BOS,W,242,128,46,81,0.568,19,35,0.543,17,21,0.81,1,34,35,25,7,4,9,16,26.0
42022,1610612748,MIA,Miami Heat,0042200302,2023-05-19,MIA @ BOS,W,241,111,42,92,0.457,9,26,0.346,18,19,0.947,11,34,45,23,9,5,10,17,6.0
42022,1610612748,MIA,Miami Heat,0042200301,2023-05-17,MIA @ BOS,W,240,123,46,85,0.541,16,31,0.516,15,19,0.789,7,28,35,20,12,3,12,22,7.0
42022,1610612748,MIA,Miami Heat,0042200206,2023-05-12,MIA vs. NYK,W,239,96,33,82,0.402,7,27,0.259,23,25,0.92,7,33,40,25,8,2,7,22,4.0
42022,1610612748,MIA,Miami Heat,0042200205,2023-05-10,MIA @ NYK,L,240,103,37,88,0.42,13,43,0.302,16,19,0.842,11,23,34,27,11,4,12,30,-9.0
42022,1610612748,MIA,Miami Heat,0042200204,2023-05-08,MIA vs. NYK,W,239,109,40,85,0.471,13,39,0.333,16,22,0.727,13,31,44,28,7,4,12,21,8.0
42022,1610612748,MIA,Miami Heat,0042200203,2023-05-06,MIA vs. NYK,W,242,105,35,90,0.389,7,32,0.219,28,31,0.903,13,37,50,17,3,5,13,25,19.0
42022,1610612748,MIA,Miami Heat,0042200202,2023-05-02,MIA @ NYK,L,240,105,38,85,0.447,17,49,0.347,12,17,0.706,8,26,34,24,1,2,6,24,-6.0
42022,1610612748,MIA,Miami Heat,0042200201,2023-04-30,MIA @ NYK,W,239,108,36,85,0.424,13,39,0.333,23,29,0.793,10,29,39,26,8,5,8,14,7.0
42022,1610612748,MIA,Miami Heat,0042200105,2023-04-26,MIA @ MIL,W,264,128,50,110,0.455,17,45,0.378,11,17,0.647,9,36,45,25,6,5,11,31,2.0
42022,1610612748,MIA,Miami Heat,0042200104,2023-04-24,MIA vs. MIL,W,239,119,43,87,0.494,13,32,0.406,20,25,0.8,9,38,47,21,9,5,15,20,5.0
42022,1610612748,MIA,Miami Heat,0042200103,2023-04-22,MIA vs. MIL,W,240,121,45,84,0.536,16,33,0.485,15,17,0.882,8,36,44,22,13,4,13,18,22.0
42022,1610612748,MIA,Miami Heat,0042200102,2023-04-19,MIA @ MIL,L,239,122,45,84,0.536,16,36,0.444,16,23,0.696,7,34,41,26,10,2,17,9,-16.0
42022,1610612748,MIA,Miami Heat,0042200101,2023-04-16,MIA @ MIL,W,240,130,50,84,0.595,15,25,0.6,15,21,0.714,4,32,36,32,6,1,15,24,13.0
